user_id,age,account_age_days,kyc_level,device_count,incoming_txn_count_24h,incoming_total_amount_24h,unique_senders_24h,avg_incoming_amount,incoming_peak_hour,outgoing_txn_count_24h,outgoing_total_amount_24h,forwarding_ratio,avg_time_gap_in_out_min,same_day_forward_flag,imps_usage_flag,cross_bank_transfer_flag,rapid_forward_flag,high_velocity_flag,lien_marked_flag,freeze_flag,complaint_flag,is_mule_account
U0,17,224,3,1,1,4464.704583099741,1,3404.4600469728352,2,2,2164.67595436642,0.3339073000818308,406.48807581431373,0,1,0,0,0,0,0,0,0
U1,19,323,2,1,19,51827.8214168008,10,2164.9165607921677,9,18,21359.92775138031,0.8327284940972781,9.585112746335845,1,0,0,1,1,1,1,1,1
U2,18,316,3,1,22,61643.93417331978,7,1053.059844639466,13,21,88905.37724178274,0.8925621989144501,19.810364221551062,1,0,0,1,1,1,1,1,1
U3,18,215,1,2,1,1728.9443511522493,2,4021.44564127061,5,2,3663.5333029455105,0.3049790556476375,412.79839573565806,0,0,0,0,0,0,0,0,0
U4,19,279,3,2,1,2306.1630752233414,1,3281.775897621598,7,1,4378.135394712605,0.3325398470083344,570.9594919508108,0,1,1,0,0,0,0,0,0
U5,19,50,1,1,22,36543.49063754422,9,1062.5456269647757,8,21,85868.56062091922,0.8642155988048461,12.023362742184519,1,0,0,1,1,1,1,1,1
U6,18,298,3,1,4,18820.81405621358,1,3604.308102007778,6,2,8800.308622318395,0.15965272122664156,461.44413731935197,0,0,1,0,0,0,0,0,0
U7,18,181,2,1,1,3244.9737033908045,2,2531.7074990151596,14,2,7705.95829778396,0.19329469651469866,276.08799457283857,0,0,1,0,0,0,0,0,0
U8,17,188,3,2,21,74458.47454615755,11,2257.4239243053066,3,21,97235.58380979182,0.8940919092887589,15.68852545896374,1,0,1,1,1,1,1,1,1
U9,18,252,2,2,1,4718.790609370292,1,4232.481518257668,20,2,8971.68472150174,0.16091836742043084,572.5697138678308,0,0,0,0,0,0,0,0,0
U10,19,240,2,1,19,39682.05095323228,8,3590.7604821654495,19,18,43384.95765606017,0.9589904466053962,13.108625525131849,1,0,0,1,1,1,1,1,1
U11,18,243,3,1,2,4585.623456166042,2,3075.162486973464,8,2,5230.689368464326,0.22522330094463372,226.61174902595053,0,1,0,0,0,0,0,0,0
U12,20,122,1,1,2,6876.514671839175,2,3010.716092915446,21,1,1132.2029316021935,0.30889128185193654,461.8898831637322,0,0,0,0,0,0,0,0,0
U13,19,212,3,1,1,3912.865394447438,1,2471.132530877013,19,1,4933.692563579372,0.14346846162736693,354.93732493323023,0,1,1,0,0,0,0,0,0
U14,20,268,3,2,3,3199.0539471342736,2,3048.372233197124,18,0,0.0,0.14521526318962885,363.935412835545,0,1,1,0,0,0,0,0,0
U15,19,160,3,2,1,3783.1375973803288,1,1914.2000871891987,15,2,8537.777601609727,0.38101899662102046,186.01005319007675,0,1,0,0,0,0,0,0,0
U16,20,46,3,1,4,9424.47665677921,1,2396.8382984506434,15,1,4386.644568953224,0.3988761099273773,583.4012886186209,0,0,1,0,0,0,0,0,0
U17,19,263,3,2,8,11247.089371713028,12,3654.007076432223,17,7,11502.625439689962,0.8151451936991089,9.040717852365344,1,1,0,1,1,1,1,1,1
U18,16,286,3,1,2,7260.903138402747,1,3273.2344133418865,11,0,0.0,0.16728079283816794,461.8460262468172,0,1,1,0,0,0,0,0,0
U19,18,36,2,1,2,6021.096744841537,2,3307.6155385054362,0,1,1780.971951192178,0.39190316642573375,308.686907840045,0,0,1,0,0,0,0,0,0
