txn_id,sender_upi_id,receiver_user_id,txn_amount,txn_type,txn_hour,time_gap_prev_txn_min,rapid_forward_flag,upi_to_imps_flag,similar_amount_burst_flag,high_frequency_flag
T0,S1470@upi,U3920,8280.67965046611,UPI,13,41.77225142256492,1,0,0,0
T1,S773@upi,U2505,1590.222702956411,IMPS,4,188.9138793659674,1,0,0,1
T2,S1622@upi,U1016,983.2568310957959,UPI,19,62.35192471359774,0,0,1,0
T3,S703@upi,U3107,8144.908129455772,IMPS,2,56.13757510219556,0,0,0,0
T4,S0@upi,U3848,8096.389400289227,IMPS,11,32.3736793747711,0,1,0,0
T5,S2409@upi,U4982,8883.16669982112,IMPS,15,145.34905322184514,1,0,0,0
T6,S1151@upi,U1671,3220.1198053693042,IMPS,0,225.31272361240627,0,0,0,0
T7,S1194@upi,U1102,4776.749400097689,UPI,13,192.7559804282051,0,0,0,0
T8,S1873@upi,U4680,2983.949220703458,IMPS,11,181.19447401911557,1,0,0,0
T9,S1828@upi,U1289,2242.080305627992,IMPS,12,127.17789993373911,1,1,0,0
T10,S2038@upi,U1459,7260.083284784125,UPI,20,108.0513624987066,0,0,0,1
T11,S18@upi,U3955,7654.548333650983,IMPS,9,204.95057136083173,0,1,1,0
T12,S1905@upi,U4429,4147.277912633144,UPI,11,149.78300007298392,0,0,0,0
T13,S1204@upi,U2681,4883.819863476298,IMPS,16,106.60201022431568,1,0,0,0
T14,S607@upi,U1380,9793.88439237116,UPI,10,50.221745249615374,1,0,0,0
T15,S1075@upi,U1059,3393.773423282538,IMPS,11,183.0664887612975,0,1,1,1
T16,S1785@upi,U3574,7716.57758237398,UPI,15,258.58278423264665,0,0,0,0
T17,S2761@upi,U1047,4660.768180125671,IMPS,1,83.65659637939874,0,0,0,0
T18,S1397@upi,U3358,5099.353313827535,IMPS,10,3.1858830628909622,0,1,0,0
T19,S2340@upi,U538,6816.33323845007,IMPS,4,212.32742161522953,0,1,0,0
T20,S1920@upi,U1342,6809.462291652957,UPI,18,201.7305920353625,0,0,0,0
T21,S2689@upi,U3291,9855.866056769932,IMPS,19,268.9625351082552,0,1,0,0
T22,S873@upi,U247,5842.352118123797,IMPS,16,135.77364961481453,0,0,0,0
T23,S2422@upi,U3937,4903.57659254883,UPI,8,137.04453916263066,1,0,0,0
T24,S2405@upi,U2159,5463.138873036865,UPI,3,96.23011461217133,0,0,0,0
T25,S998@upi,U273,7122.30490823945,IMPS,3,215.47728693266288,1,1,0,0
T26,S2060@upi,U1124,2735.227058508927,IMPS,7,211.73310938662158,0,1,0,0
T27,S1156@upi,U2877,7467.860959631487,IMPS,1,31.940550220240397,1,0,0,0
T28,S1717@upi,U1977,8794.887770596997,UPI,2,120.43314396225901,1,0,0,0
T29,S289@upi,U3638,5172.403886486033,UPI,14,101.08277184890402,0,0,0,0
T30,S2832@upi,U4541,9898.972819720837,IMPS,17,275.65803004761824,0,0,0,0
T31,S2199@upi,U4436,777.1317525211525,IMPS,13,166.68101924735217,0,1,0,0
T32,S1081@upi,U1469,1785.8977629263707,UPI,10,170.31262459313896,1,0,0,0
T33,S73@upi,U2399,4930.190011205146,UPI,2,252.0338900258159,1,0,0,0
T34,S916@upi,U1283,3693.703249995826,IMPS,22,186.3987796980422,1,0,0,0
T35,S41@upi,U4913,6259.555575638937,UPI,9,126.3620312396257,0,0,1,0
T36,S2749@upi,U945,2085.127214625656,IMPS,0,263.9901093169143,0,1,0,0
T37,S2146@upi,U3146,6882.692996837444,IMPS,22,1.207450369289504,0,1,0,0
T38,S316@upi,U4102,9495.923820176387,IMPS,15,174.70005467920265,1,1,0,0
T39,S881@upi,U216,8958.04635634965,UPI,5,10.468501987171953,1,0,1,0
T40,S2431@upi,U1912,3591.0140576843037,UPI,13,256.46460262756943,0,0,0,0
T41,S2981@upi,U3583,3282.2516832036,IMPS,20,299.5057054309286,0,0,0,0
T42,S2081@upi,U65,4589.320336612789,UPI,20,203.99492886758492,0,0,1,0
T43,S1542@upi,U239,5645.965552090252,UPI,2,101.35018370024474,0,0,0,0
T44,S49@upi,U4554,1445.7138125453057,IMPS,16,256.7756887507936,0,0,0,0
T45,S2522@upi,U765,7884.9222860479595,IMPS,7,242.05270183233134,0,1,0,1
T46,S2542@upi,U364,8977.017552638923,UPI,3,74.45933175615426,1,0,1,0
T47,S2648@upi,U4082,4452.863196368355,IMPS,5,111.75018872557264,0,0,0,0
T48,S301@upi,U4118,2395.9474369247973,UPI,19,61.502049907938854,0,0,0,0
T49,S810@upi,U4126,4387.090889221756,UPI,9,254.6975108615451,0,0,0,1
T50,S2639@upi,U1890,5035.826506489508,UPI,20,142.86327776323532,1,0,0,1
T51,S8@upi,U3176,7868.2133382099855,UPI,17,170.66656785873357,0,0,0,1
T52,S1455@upi,U129,7498.498215017119,UPI,15,124.79800823285812,0,0,0,0
T53,S2709@upi,U2529,1800.3470294517674,IMPS,12,55.571934472982186,0,1,0,0
T54,S1664@upi,U4324,1845.893783136828,IMPS,3,63.95199952901567,0,1,0,0
T55,S1577@upi,U3839,1462.076378750662,UPI,18,223.28251311456097,0,0,0,1
