sender_upi_id,sender_bank,sender_account_age_days,total_txn_24h,unique_receivers_24h,total_amount_sent_24h,avg_txn_amount,rapid_txn_flag,repeated_amount_flag,night_activity_flag,cross_bank_flag,is_suspicious_sender
S0@upi,YBL,46,15,19,20446.80519871419,4366.598502836942,1,1,0,1,1
S1@upi,SBI,129,3,1,8567.94768773533,1049.8467923236121,0,0,0,1,0
S2@upi,ICICI,276,1,2,3736.8360514449973,4110.8901969324315,0,0,1,0,0
S3@upi,HDFC,308,4,1,10140.137934757477,1310.8518595032078,0,0,1,0,0
S4@upi,SBI,236,2,2,7294.1176289487985,3694.352604319219,0,0,0,0,0
S5@upi,YBL,34,25,15,51609.69279432493,1141.1319563977886,1,1,0,1,1
S6@upi,ICICI,186,4,2,4826.209992660203,4021.5045656381435,0,0,0,0,0
S7@upi,YBL,41,32,19,85191.24458999309,4806.1921148672645,1,1,1,0,1
S8@upi,YBL,345,39,14,96146.63817791222,3130.620232264256,1,1,0,1,1
S9@upi,SBI,227,5,2,24715.75423850464,2345.1912505041782,0,0,0,1,0
S10@upi,HDFC,316,1,2,1286.9042806927791,4241.3328076752505,0,0,0,0,0
S11@upi,SBI,253,1,1,4280.939066502525,3476.15266123456,0,0,0,1,0
S12@upi,SBI,345,2,1,9500.343281469079,1926.9371384737788,0,0,0,1,0
S13@upi,HDFC,139,3,1,7242.847858739236,1757.2183795559226,0,0,0,1,0
S14@upi,ICICI,314,22,16,41005.26288822154,4432.276206876485,1,1,0,1,1
S15@upi,AXIS,116,2,1,4433.914065906249,2398.060488467306,0,0,1,1,0
S16@upi,YBL,72,2,1,5093.734541716367,2257.873659408952,0,0,0,0,0
S17@upi,HDFC,256,1,1,1278.4592535206966,2678.0344783815544,0,0,1,1,0
S18@upi,AXIS,288,5,2,21130.63399503295,1203.4865978873138,0,0,0,0,0
S19@upi,YBL,101,1,1,4543.625303975313,2073.963530250423,0,0,0,0,0
S20@upi,HDFC,23,5,2,5964.23517423069,1306.13178365412,0,0,0,0,0
S21@upi,ICICI,110,2,2,2680.210146825803,1466.8112032610004,0,0,0,1,0
S22@upi,HDFC,261,2,2,3521.5370910771926,2924.9898509252102,0,0,1,1,0
S23@upi,AXIS,209,1,2,1765.892348606717,3684.6461578009184,0,0,0,0,0
S24@upi,SBI,52,3,1,6104.440956610721,3538.628846016515,0,0,0,0,0
S25@upi,HDFC,96,29,9,143477.89892273606,4307.6408724639805,1,1,0,1,1
S26@upi,HDFC,247,4,1,11862.346517281756,2200.925256365675,0,0,0,0,0
S27@upi,SBI,216,1,1,1927.9160054428824,1958.552471678115,0,0,1,0,0
S28@upi,AXIS,314,1,2,1308.2228841993615,2788.945970616429,0,0,1,1,0
S29@upi,ICICI,260,5,2,5080.77503910459,2937.4152499223815,0,0,1,1,0
S30@upi,HDFC,277,27,16,57652.95256401506,3067.8030505019656,1,1,0,0,1
S31@upi,SBI,207,30,15,100028.28896866683,3705.477669518777,1,1,0,1,1
S32@upi,HDFC,241,24,8,95732.56387493348,4538.412224796388,1,1,0,0,1
S33@upi,HDFC,107,5,2,10360.20613962193,2027.072936916211,0,0,1,0,0
S34@upi,YBL,95,1,2,3473.6798953671478,3191.5322481966678,0,0,0,0,0
S35@upi,ICICI,157,32,11,137596.52491024684,2342.6112862561677,1,1,0,0,1
S36@upi,AXIS,288,1,1,4880.215427080832,1985.8062210687501,0,0,0,0,0
S37@upi,SBI,124,29,12,89308.75042528065,4994.1586649672545,1,1,0,1,1
S38@upi,AXIS,340,4,1,12795.965214846476,1497.6977766468292,0,0,1,1,0
S39@upi,YBL,83,3,1,4248.832812296006,1027.5943819667966,0,0,0,1,0
S40@upi,HDFC,63,1,1,2401.826527785769,3520.0515427521414,0,0,0,1,0
S41@upi,HDFC,175,2,2,4144.557707855186,3434.0018674257553,0,0,0,0,0
S42@upi,HDFC,48,5,2,6994.327013522084,1710.310166570216,0,0,1,1,0
S43@upi,HDFC,309,1,1,2213.2969779018085,4693.118165176547,0,0,0,0,0
S44@upi,HDFC,48,32,18,148841.17117076792,1719.087877422549,1,1,0,1,1
S45@upi,ICICI,358,4,1,5453.701276572044,4081.6056309954274,0,0,0,0,0
S46@upi,ICICI,199,4,2,7993.699098805273,2707.3998409636706,0,0,1,1,0
S47@upi,ICICI,185,1,2,3858.0986032145174,1212.540426096957,0,0,0,0,0
S48@upi,HDFC,167,4,2,7915.1115385758185,1529.7163068194245,0,0,1,0,0
S49@upi,AXIS,94,1,2,1146.2767803788645,2239.243406168955,0,0,1,0,0
S50@upi,SBI,300,36,14,77657.58610686591,2125.1766791611726,1,1,0,0,1
S51@upi,AXIS,65,38,13,170119.48843100804,2875.325258392184,1,1,0,1,1
S52@upi,SBI,292,2,1,7677.864124725167,4366.32305361876,0,0,1,0,0
S53@upi,AXIS,306,4,2,16892.739407731555,3596.6796605720965,0,0,0,0,0
S54@upi,ICICI,10,5,1,17831.548363965798,1827.6108937780862,0,0,1,0,0
S55@upi,SBI,135,5,1,11791.413547188735,1170.3249016406162,0,0,0,1,0
S56@upi,SBI,231,4,2,17154.238246749876,4826.7348865817585,0,0,0,1,0
S57@upi,HDFC,151,2,1,5283.189227274057,4033.7401059806393,0,0,0,0,0
S58@upi,ICICI,27,2,2,7208.1960131235055,2710.1244747759492,0,0,1,0,0
